run,number_of_clones,number_of_reads
050002460808_S119_L002.clonotypes.TRB.txt,117,163
050001710808_S24_L001.clonotypes.TRB.txt,162,220
340003380808_S32_L001.clonotypes.TRB.txt,205,274
520003590808_S61_L001.clonotypes.TRB.txt,393,639
140001090808_S98_L002.clonotypes.TRA.txt,2702,6577
630000880808_S114_L002.clonotypes.TRA.txt,19839,8698827
780005000808_S153_L002.clonotypes.TRB.txt,2645,12834
540003500808_S89_L001.clonotypes.TRA.txt,7653,978542
780003480808_S43_L001.clonotypes.TRA.txt,11635,6555207
670005530808_S192_L002.clonotypes.TRA.txt,4864,49407
440001020101_S79_L001.clonotypes.TRB.txt,47460,3985709
p18_12_DNA_S28_L002.clonotypes.TRA.txt,67427,12022285
690001910808_S84_L001.clonotypes.TRA.txt,14608,746214
780005100808_S138_L002.clonotypes.TRA.txt,578,1508
500003670808_S43_L001.clonotypes.TRA.txt,12564,487992
540002830808_S9_L001.clonotypes.TRA.txt,27830,14913325
260002890808_S87_L001.clonotypes.TRA.txt,20227,186646
050000730808_S19_L001.clonotypes.TRB.txt,747,1482
540002650808_S169_L002.clonotypes.TRB.txt,15858,6999525
210002900808_S144_L002.clonotypes.TRB.txt,14821,4897508
050000670808_S53_L001.clonotypes.TRA.txt,2257,6001
780004990808_S148_L002.clonotypes.TRA.txt,11185,4824780
670004520808_S139_L002.clonotypes.TRB.txt,8378,10594636
330002550101_S139_L002.clonotypes.TRA.txt,15712,5040410
540002580808_S129_L002.clonotypes.TRB.txt,18643,903380
300000920808_S132_L002.clonotypes.TRA.txt,32403,8833272
p17_15_DNA_S31_L001.clonotypes.TRB.txt,30845,5164181
590002840101_S116_L002.clonotypes.TRB.txt,18339,4935886
670004980808_S150_L002.clonotypes.TRB.txt,16942,3073589
020000350808_S126_L002.clonotypes.TRB.txt,13345,4539391
440002980101_S145_L002.clonotypes.TRA.txt,16961,4403792
050000630808_S56_L001.clonotypes.TRB.txt,922,1719
690001140808_S97_L002.clonotypes.TRB.txt,5571,1456819
630001140808_S110_L002.clonotypes.TRB.txt,18457,18591434
670005010808_S131_L002.clonotypes.TRB.txt,8783,910404
630003070808_S44_L001.clonotypes.TRA.txt,28634,3045197
020000340808_S82_L001.clonotypes.TRB.txt,7386,6526027
630001580807_S128_L002.clonotypes.TRA.txt,13024,5453545
210003330808_S191_L002.clonotypes.TRA.txt,5,6
050001090808_S45_L001.clonotypes.TRA.txt,366,529
p17_42-1_DNA_S8_L001.clonotypes.TRB.txt,36976,2491065
630002250807_S86_L001.clonotypes.TRA.txt,34968,3523705
330000630808_S74_L001.clonotypes.TRB.txt,6367,595691
330001670101_S130_L002.clonotypes.TRA.txt,25571,4618085
640003490808_S58_L001.clonotypes.TRB.txt,21651,6404047
270000200808_S44_L001.clonotypes.TRB.txt,10806,7258061
630002560808_S58_L001.clonotypes.TRB.txt,21658,5776627
640002230808_S63_L001.clonotypes.TRA.txt,14359,1754057
670004790808_S16_L001.clonotypes.TRA.txt,21301,6063329
020000200808_S181_L002.clonotypes.TRA.txt,37705,9537751
670004720808_S166_L002.clonotypes.TRA.txt,24749,11791554
670004920808_S135_L002.clonotypes.TRB.txt,6584,57880
540001930808_S48_L001.clonotypes.TRA.txt,19910,5568191
p18_10_DNA_S26_L002.clonotypes.TRB.txt,51378,15236204
630001340808_S113_L002.clonotypes.TRA.txt,11914,10185628
270000130807_S31_L001.clonotypes.TRA.txt,32345,5128006
p17_18_DNA_S34_L001.clonotypes.TRB.txt,43791,6956538
550002650808_S108_L002.clonotypes.TRA.txt,33004,4803940
670005490808_S141_L002.clonotypes.TRA.txt,27926,7331668
340003700808_S18_L001.clonotypes.TRB.txt,10586,2573663
260002780807_S30_L001.clonotypes.TRA.txt,5,9
020002240807_S106_L002.clonotypes.TRB.txt,18149,3769066
210002400808_S141_L002.clonotypes.TRB.txt,14611,1005744
050001010808_S65_L001.clonotypes.TRB.txt,799,1102908
640002000808_S6_L001.clonotypes.TRA.txt,24576,3665993
340003630808_S13_L001.clonotypes.TRB.txt,17488,1881518
p18_74_DNA_S90_L002.clonotypes.TRB.txt,39890,8236610
p17_66_DNA_S78_L001.clonotypes.TRB.txt,34737,3453727
640002310808_S7_L001.clonotypes.TRB.txt,14749,5195461
p17_41_DNA_S57_L001.clonotypes.TRA.txt,81656,7761970
550001560808_S154_L002.clonotypes.TRB.txt,28771,9571149
050000440808_S15_L001.clonotypes.TRA.txt,48368,10242545
340003540808_S5_L001.clonotypes.TRA.txt,49830,4400630
630002890808_S41_L001.clonotypes.TRB.txt,24094,5245726
140003810101_S56_L001.clonotypes.TRA.txt,12049,3802682
p17_1_DNA_S17_L001.clonotypes.TRB.txt,24879,4287383
540002490807_S111_L002.clonotypes.TRA.txt,66510,6982208
500001310807_S89_L001.clonotypes.TRB.txt,8867,3959249
330000380808_S21_L001.clonotypes.TRB.txt,5698,2844819
540003340808_S73_L001.clonotypes.TRA.txt,24965,10401223
250002710101_S157_L002.clonotypes.TRB.txt,23687,3313510
440000480101_S178_L002.clonotypes.TRB.txt,27318,4017896
330001780808_S170_L002.clonotypes.TRB.txt,2384,5572239
050002050101_S124_L002.clonotypes.TRB.txt,24673,5439942
550003000807_S17_L001.clonotypes.TRA.txt,11838,6550657
460001010808_S167_L002.clonotypes.TRB.txt,8630,3025899
440000570808_S128_L002.clonotypes.TRA.txt,43678,1909873
670004810808_S147_L002.clonotypes.TRA.txt,54852,10048006
550002940807_S1_L001.clonotypes.TRA.txt,11719,5721910
730001830101_S175_L002.clonotypes.TRA.txt,33675,2065492
590003790101_S180_L002.clonotypes.TRB.txt,13512,3535594
270000010808_S182_L002.clonotypes.TRA.txt,28457,7622953
210003330101_S68_L001.clonotypes.TRB.txt,12264,3813414
330003400808_S167_L002.clonotypes.TRA.txt,25899,3450958
520004340101_S162_L002.clonotypes.TRA.txt,13299,1814578
540003020808_S33_L001.clonotypes.TRB.txt,6261,859230
400004310808_S103_L002.clonotypes.TRB.txt,19299,4975012
440003630808_S30_L001.clonotypes.TRA.txt,1652,87252
440000330101_S141_L002.clonotypes.TRA.txt,13920,3350047
780008530808_S175_L002.clonotypes.TRB.txt,20295,3541730
540002180808_S45_L001.clonotypes.TRA.txt,14359,269244
p17_55-2_DNA_S13_L001.clonotypes.TRB.txt,39326,2274595
050001870808_S147_L002.clonotypes.TRA.txt,20452,4474046
330000500808_S25_L001.clonotypes.TRB.txt,7958,7991839
260002990808_S101_L002.clonotypes.TRB.txt,1937,47785
050001690807_S105_L002.clonotypes.TRB.txt,1,1
440000240808_S21_L001.clonotypes.TRB.txt,0,0
440003800808_S90_L001.clonotypes.TRB.txt,10019,279249
050000730101_S105_L002.clonotypes.TRB.txt,13195,3865264
780003340807_S45_L001.clonotypes.TRA.txt,16588,3603594
670005080808_S127_L002.clonotypes.TRA.txt,34705,903538
590002690101_S188_L002.clonotypes.TRB.txt,15942,1200202
050001610808_S25_L001.clonotypes.TRA.txt,1066,1820
520001220808_S55_L001.clonotypes.TRA.txt,0,0
670005410808_S162_L002.clonotypes.TRA.txt,36639,4016232
500000930808_S34_L001.clonotypes.TRB.txt,38,73
780002510101_S92_L001.clonotypes.TRB.txt,11538,1357174
020003940808_S10_L001.clonotypes.TRB.txt,4550,781298
640001910808_S37_L001.clonotypes.TRB.txt,16687,5148808
330000520808_S63_L001.clonotypes.TRA.txt,32524,8222946
540002610808_S145_L002.clonotypes.TRB.txt,2993,6100969
500001270808_S163_L002.clonotypes.TRA.txt,17875,7891943
770101790807_S4_L001.clonotypes.TRA.txt,14273,5980381
470001590807_S68_L001.clonotypes.TRA.txt,17970,1633752
540002290808_S42_L001.clonotypes.TRB.txt,6085,9308669
630001790807_S92_L001.clonotypes.TRB.txt,11493,9255092
340003420808_S33_L001.clonotypes.TRA.txt,424,883
p17_68_DNA_S80_L001.clonotypes.TRA.txt,44111,3347978
260002790807_S164_L002.clonotypes.TRB.txt,3042,5030
p17_46_DNA_S60_L001.clonotypes.TRA.txt,45987,7091610
500003870808_S36_L001.clonotypes.TRA.txt,67,94
630003530808_S56_L001.clonotypes.TRB.txt,20207,5899763
340002960808_S164_L002.clonotypes.TRA.txt,13361,6026352
470001820808_S60_L001.clonotypes.TRA.txt,31962,3181084
470001570808_S67_L001.clonotypes.TRA.txt,20899,3165120
p17_61_DNA_S73_L001.clonotypes.TRB.txt,57193,4555584
210002120808_S169_L002.clonotypes.TRA.txt,26548,4835839
050002000808_S73_L001.clonotypes.TRA.txt,15025,61151
230002080807_S137_L002.clonotypes.TRA.txt,35254,5592885
690000100807_S35_L001.clonotypes.TRB.txt,1451,2325
210003270808_S151_L002.clonotypes.TRB.txt,3,3
780002130808_S75_L001.clonotypes.TRB.txt,17,20
370000570808_S110_L002.clonotypes.TRA.txt,16549,9364032
050000740101_S76_L001.clonotypes.TRB.txt,20570,4541635
780005110808_S137_L002.clonotypes.TRA.txt,403,3023
270000100807_S23_L001.clonotypes.TRB.txt,20499,7985359
590002690808_S72_L001.clonotypes.TRA.txt,7467,250054
630003180808_S42_L001.clonotypes.TRA.txt,20641,3482979
670004930808_S152_L002.clonotypes.TRB.txt,16837,7333722
440000050808_S92_L001.clonotypes.TRA.txt,66,101
770103470808_S166_L002.clonotypes.TRA.txt,6169,845449
540002970808_S5_L001.clonotypes.TRA.txt,8203,210838
690000250808_S96_L001.clonotypes.TRB.txt,20026,2412433
330001570808_S105_L002.clonotypes.TRA.txt,48,71
640003600808_S42_L001.clonotypes.TRA.txt,24071,1748073
670005610808_S190_L002.clonotypes.TRA.txt,24412,2568901
670004580101_S111_L002.clonotypes.TRB.txt,29016,4593876
p17_58_DNA_S70_L001.clonotypes.TRB.txt,38408,7503504
690000110101_S59_L001.clonotypes.TRA.txt,40650,2966712
050002010101_S122_L002.clonotypes.TRA.txt,19276,4214345
050002210101_S127_L002.clonotypes.TRA.txt,27442,3112276
540002770807_S50_L001.clonotypes.TRA.txt,17178,6619006
640000850808_S182_L002.clonotypes.TRA.txt,31,46
280002980807_S49_L001.clonotypes.TRB.txt,26186,4863580
p17_45-1_DNA_S7_L001.clonotypes.TRA.txt,24324,822615
020000640808_S117_L002.clonotypes.TRA.txt,2581,242798
780005230808_S131_L002.clonotypes.TRA.txt,4342,8172038
780005150101_S47_L001.clonotypes.TRB.txt,25602,4871105
050002340808_S116_L002.clonotypes.TRB.txt,259,443
640002920808_S23_L001.clonotypes.TRB.txt,14031,5504870
p17_54_DNA_S67_L001.clonotypes.TRA.txt,105194,5731656
550002260807_S88_L001.clonotypes.TRA.txt,30217,8932537
670005650808_S11_L001.clonotypes.TRA.txt,39424,8209656
730003400808_S44_L001.clonotypes.TRA.txt,65,94
250002710808_S102_L002.clonotypes.TRB.txt,584,1365
780005290808_S130_L002.clonotypes.TRA.txt,17748,35876329
330000960808_S141_L002.clonotypes.TRB.txt,11167,916048
050000970808_S55_L001.clonotypes.TRA.txt,20169,10919480
340003430808_S35_L001.clonotypes.TRB.txt,9057,140086
780004510101_S41_L001.clonotypes.TRB.txt,12584,4582890
270001010808_S158_L002.clonotypes.TRA.txt,19713,4503595
050000600808_S32_L001.clonotypes.TRB.txt,280,420
330000600808_S68_L001.clonotypes.TRB.txt,6395,2402156
050001170101_S110_L002.clonotypes.TRB.txt,13816,4934730
270001070808_S158_L002.clonotypes.TRB.txt,17784,11766247
540003610101_S169_L002.clonotypes.TRB.txt,16043,6407174
590002150808_S76_L001.clonotypes.TRA.txt,15524,173944
780008490101_S22_L001.clonotypes.TRA.txt,25468,2886931
050001710101_S116_L002.clonotypes.TRB.txt,13206,5436451
630001250808_S111_L002.clonotypes.TRA.txt,14310,8531533
770101010807_S107_L002.clonotypes.TRA.txt,22236,9823554
050000710101_S75_L001.clonotypes.TRB.txt,21569,3938065
440000850808_S62_L001.clonotypes.TRA.txt,1198,1739
050000990808_S40_L001.clonotypes.TRA.txt,18971,4314299
050002040101_S123_L002.clonotypes.TRB.txt,11250,5380616
780005000101_S15_L001.clonotypes.TRA.txt,46422,3037271
340003760808_S23_L001.clonotypes.TRB.txt,17782,842164
330002530808_S81_L001.clonotypes.TRA.txt,7125,24086
050000520101_S101_L002.clonotypes.TRA.txt,8079,2095834
330001990808_S106_L002.clonotypes.TRB.txt,1210,4907
330000650808_S71_L001.clonotypes.TRA.txt,15715,7985786
550001680808_S180_L002.clonotypes.TRA.txt,19480,1370229
640002280808_S25_L001.clonotypes.TRA.txt,56699,5707436
440000270808_S5_L001.clonotypes.TRA.txt,1879,4948
210002930808_S135_L002.clonotypes.TRB.txt,13325,1296035
050000540101_S78_L001.clonotypes.TRB.txt,24917,4323154
330001110808_S156_L002.clonotypes.TRA.txt,20224,9652485
780005100101_S48_L001.clonotypes.TRB.txt,25481,4488861
550002510808_S162_L002.clonotypes.TRB.txt,24045,6623039
330003360808_S142_L002.clonotypes.TRB.txt,6856,223074
230002180807_S176_L002.clonotypes.TRA.txt,23415,3978336
780001900807_S140_L002.clonotypes.TRB.txt,12568,7141700
270001130808_S87_L001.clonotypes.TRB.txt,12829,3578575
460002220808_S13_L001.clonotypes.TRB.txt,13080,7818884
730003400101_S144_L002.clonotypes.TRB.txt,17277,3637635
500004230808_S37_L001.clonotypes.TRB.txt,1454,2703
590001290808_S85_L001.clonotypes.TRA.txt,350,619
290002630808_S108_L002.clonotypes.TRA.txt,57263,7623833
250002690101_S141_L002.clonotypes.TRB.txt,17757,4740721
640002170101_S51_L001.clonotypes.TRA.txt,25418,2265666
670004830808_S143_L002.clonotypes.TRB.txt,8669,1352887
670005460808_S137_L002.clonotypes.TRA.txt,29000,3952339
330000740808_S76_L001.clonotypes.TRA.txt,21892,6979487
p18_73_DNA_S89_L002.clonotypes.TRA.txt,91043,21395684
330002540808_S94_L001.clonotypes.TRB.txt,160,334
590002840808_S91_L001.clonotypes.TRA.txt,222,512
230002070807_S129_L002.clonotypes.TRA.txt,12837,4068048
770102430807_S155_L002.clonotypes.TRB.txt,15001,4852366
p17_49-1_DNA_S6_L001.clonotypes.TRB.txt,88413,2522956
690001180101_S161_L002.clonotypes.TRA.txt,35463,4104565
440000330808_S71_L001.clonotypes.TRB.txt,90,155
p17_51_DNA_S64_L001.clonotypes.TRA.txt,135067,7740452
770101520808_S102_L002.clonotypes.TRA.txt,33943,8174153
250002880808_S106_L002.clonotypes.TRB.txt,109,127
460002860101_S145_L002.clonotypes.TRB.txt,11969,4966157
210000460808_S175_L002.clonotypes.TRB.txt,20620,3855889
250002660101_S133_L002.clonotypes.TRB.txt,31506,5962783
050001290808_S51_L001.clonotypes.TRB.txt,868,1696
670002110808_S124_L002.clonotypes.TRB.txt,8139,3042536
330001570101_S128_L002.clonotypes.TRA.txt,22715,2714596
780004310807_S69_L001.clonotypes.TRB.txt,1231,3034
050000980808_S127_L002.clonotypes.TRB.txt,8339,2693528
630002350807_S93_L001.clonotypes.TRB.txt,14945,12958755
330001070808_S180_L002.clonotypes.TRB.txt,6173,412120
260000240807_S152_L002.clonotypes.TRB.txt,18485,3397554
640001920808_S45_L001.clonotypes.TRA.txt,14883,3410541
630001240808_S112_L002.clonotypes.TRA.txt,12569,6341650
330000410808_S109_L002.clonotypes.TRB.txt,11032,5189073
590004310808_S86_L001.clonotypes.TRB.txt,200,713
540002690808_S106_L002.clonotypes.TRB.txt,17699,2036728
540000560808_S164_L002.clonotypes.TRA.txt,49755,6122197
500000530808_S147_L002.clonotypes.TRA.txt,13894,477382
210002860808_S173_L002.clonotypes.TRB.txt,10038,770765
730002430808_S47_L001.clonotypes.TRB.txt,8919,4874627
470001450807_S76_L001.clonotypes.TRA.txt,17676,2910659
050000230808_S160_L002.clonotypes.TRB.txt,7045,109373
330002530101_S137_L002.clonotypes.TRA.txt,37174,5051995
670002450808_S189_L002.clonotypes.TRA.txt,45160,1815507
630003200808_S55_L001.clonotypes.TRA.txt,26772,2783544
p18_5_DNA_S21_L002.clonotypes.TRB.txt,104276,3666775
630002280808_S108_L002.clonotypes.TRB.txt,5406,9956756
460001050808_S175_L002.clonotypes.TRA.txt,19942,6204907
460002050808_S12_L001.clonotypes.TRB.txt,19924,2269148
630001150808_S109_L002.clonotypes.TRA.txt,21042,9601805
210002270808_S160_L002.clonotypes.TRB.txt,4983,8653
540003460808_S81_L001.clonotypes.TRA.txt,29723,2919518
780002140808_S20_L001.clonotypes.TRA.txt,1516,2428
330000310807_S59_L001.clonotypes.TRB.txt,9953,122071
330000430808_S28_L001.clonotypes.TRA.txt,41439,6600662
340003510808_S4_L001.clonotypes.TRB.txt,18078,1414040
460001340101_S153_L002.clonotypes.TRA.txt,25299,3807768
p17_35_DNA_S51_L001.clonotypes.TRA.txt,103471,6848927
210001780808_S190_L002.clonotypes.TRA.txt,27851,1582132
p18_18_DNA_S34_L002.clonotypes.TRB.txt,46825,2184581
540001400808_S34_L001.clonotypes.TRA.txt,44854,2626597
780003450101_S95_L001.clonotypes.TRA.txt,24255,2100791
360001410808_S133_L002.clonotypes.TRB.txt,11836,4633135
360001370808_S189_L002.clonotypes.TRA.txt,12696,7525599
240101580808_S143_L002.clonotypes.TRB.txt,6675,4071156
780004910101_S26_L001.clonotypes.TRB.txt,23301,4996878
590002820808_S88_L001.clonotypes.TRB.txt,0,0
210003370808_S102_L002.clonotypes.TRA.txt,17006,2840534
330001660808_S64_L001.clonotypes.TRA.txt,8259,100580
020003830808_S150_L002.clonotypes.TRA.txt,133,181
500001470808_S64_L001.clonotypes.TRA.txt,21093,3515733
230003090807_S29_L001.clonotypes.TRB.txt,18891,3348220
p18_76_DNA_S92_L002.clonotypes.TRA.txt,94418,13737293
770101560807_S174_L002.clonotypes.TRB.txt,13390,3492478
210004320808_S105_L002.clonotypes.TRA.txt,30098,4892110
340003770808_S25_L001.clonotypes.TRA.txt,5,6
630001100807_S136_L002.clonotypes.TRA.txt,39690,6581897
550002670808_S116_L002.clonotypes.TRA.txt,20883,6552123
440002510808_S32_L001.clonotypes.TRB.txt,51008,8049902
210004500808_S119_L002.clonotypes.TRB.txt,15095,2570544
330002000808_S79_L001.clonotypes.TRA.txt,19148,3537645
550002950807_S134_L002.clonotypes.TRA.txt,19813,5857729
730000530808_S27_L001.clonotypes.TRA.txt,25862,9561935
p17_3_DNA_S19_L001.clonotypes.TRA.txt,77067,4557452
670004740101_S190_L002.clonotypes.TRB.txt,27407,2843356
330000090808_S70_L001.clonotypes.TRB.txt,15769,6439363
780004960808_S144_L002.clonotypes.TRB.txt,2517,9291
690000430808_S105_L002.clonotypes.TRB.txt,290,412
640003130808_S90_L001.clonotypes.TRA.txt,11067,1083053
050000130101_S99_L002.clonotypes.TRB.txt,9751,5063355
690001770808_S53_L001.clonotypes.TRB.txt,18449,2388596
780005150808_S127_L002.clonotypes.TRA.txt,93,125
330002370808_S162_L002.clonotypes.TRA.txt,21384,7290162
020004000808_S83_L001.clonotypes.TRA.txt,30403,10790313
440001090808_S88_L001.clonotypes.TRB.txt,3402,718515
780002130101_S90_L001.clonotypes.TRA.txt,22715,3110663
730003490808_S42_L001.clonotypes.TRA.txt,393,519
250002700808_S101_L002.clonotypes.TRB.txt,230,414
050002000101_S121_L002.clonotypes.TRA.txt,35032,4168571
640003040808_S3_L001.clonotypes.TRB.txt,0,0
780008430808_S160_L002.clonotypes.TRB.txt,681,1117
550002130808_S107_L002.clonotypes.TRA.txt,43333,7536216
260002840101_S8_L001.clonotypes.TRB.txt,15705,4415944
540001040808_S84_L001.clonotypes.TRA.txt,25168,3035428
p17_37_DNA_S53_L001.clonotypes.TRB.txt,39727,6595505
670005370808_S129_L002.clonotypes.TRA.txt,39433,1309054
440003140101_S146_L002.clonotypes.TRA.txt,33679,5725817
670005680808_S3_L001.clonotypes.TRA.txt,12647,5805462
230003320807_S149_L002.clonotypes.TRB.txt,15772,8522878
500000930101_S58_L001.clonotypes.TRB.txt,34828,4324531
780005220808_S128_L002.clonotypes.TRB.txt,0,0
730000410808_S22_L001.clonotypes.TRB.txt,2,2
250002880101_S173_L002.clonotypes.TRB.txt,4,4
770102700807_S20_L001.clonotypes.TRB.txt,15159,3749226
460000890808_S128_L002.clonotypes.TRB.txt,5798,4451571
470002200808_S71_L001.clonotypes.TRA.txt,84363,2899481
550001250808_S164_L002.clonotypes.TRB.txt,38369,1725485
020004130808_S110_L002.clonotypes.TRA.txt,33454,10253014
690001060808_S162_L002.clonotypes.TRB.txt,5339,6970335
460001340808_S29_L001.clonotypes.TRA.txt,5414,13439
780008520808_S181_L002.clonotypes.TRB.txt,3580,11670
050001990808_S123_L002.clonotypes.TRA.txt,9189,6685182
780001190807_S161_L002.clonotypes.TRB.txt,13144,5054131
540002050808_S47_L001.clonotypes.TRA.txt,2619,15361
440000440101_S177_L002.clonotypes.TRB.txt,18073,3866058
780004780808_S158_L002.clonotypes.TRB.txt,304,1174
470003430807_S177_L002.clonotypes.TRA.txt,24999,3628628
460000850808_S192_L002.clonotypes.TRA.txt,3350,5680
280001880807_S135_L002.clonotypes.TRB.txt,16930,4607396
780004930808_S179_L002.clonotypes.TRA.txt,2730,5049
440000940101_S71_L001.clonotypes.TRA.txt,27839,3314917
550002640808_S171_L002.clonotypes.TRB.txt,15109,6553878
330001180807_S138_L002.clonotypes.TRB.txt,13422,4559951
590002830101_S117_L002.clonotypes.TRB.txt,20114,2872398
670004730808_S145_L002.clonotypes.TRA.txt,28407,7496115
630001930808_S122_L002.clonotypes.TRA.txt,19748,7576061
640002260808_S56_L001.clonotypes.TRB.txt,30721,3607496
730004100808_S46_L001.clonotypes.TRA.txt,44359,11963171
520002210808_S57_L001.clonotypes.TRB.txt,2714,7660
780005090808_S135_L002.clonotypes.TRA.txt,1035,1950
780001400808_S64_L001.clonotypes.TRA.txt,18949,5680588
630002550808_S54_L001.clonotypes.TRB.txt,18351,4876067
640002690808_S57_L001.clonotypes.TRB.txt,15562,9557470
p17_17_DNA_S33_L001.clonotypes.TRA.txt,72620,6719692
590002680101_S164_L002.clonotypes.TRB.txt,26595,2762773
730001060808_S32_L001.clonotypes.TRA.txt,0,0
p17_57_DNA_S69_L001.clonotypes.TRB.txt,56789,5827414
p18_15_DNA_S31_L002.clonotypes.TRB.txt,29285,19742074
780004790101_S19_L001.clonotypes.TRB.txt,17834,4604485
260001970807_S179_L002.clonotypes.TRA.txt,4161,7686
780001940807_S156_L002.clonotypes.TRA.txt,6955,37549
210000150808_S59_L001.clonotypes.TRB.txt,73,146
050002460101_S189_L002.clonotypes.TRA.txt,32095,2758423
340003550808_S6_L001.clonotypes.TRA.txt,42463,5820377
730002460808_S48_L001.clonotypes.TRB.txt,8053,3143620
p18_21_DNA_S37_L002.clonotypes.TRB.txt,104891,3127574
050001200101_S111_L002.clonotypes.TRB.txt,19358,4158417
690000780808_S21_L001.clonotypes.TRA.txt,2,3
670005000808_S148_L002.clonotypes.TRA.txt,494,615
460000170808_S6_L001.clonotypes.TRA.txt,26743,19879209
460000180808_S5_L001.clonotypes.TRB.txt,15685,11141032
050002060808_S54_L001.clonotypes.TRA.txt,20725,12947286
520000800808_S63_L001.clonotypes.TRB.txt,1,1
780005070808_S162_L002.clonotypes.TRB.txt,5882,1707475
780004820808_S188_L002.clonotypes.TRA.txt,9019,62065
590002120808_S79_L001.clonotypes.TRA.txt,720,2550
780008460808_S151_L002.clonotypes.TRA.txt,21465,7477781
670005350101_S118_L002.clonotypes.TRB.txt,23160,5346202
640003540101_S54_L001.clonotypes.TRA.txt,19632,3810706
340002510808_S180_L002.clonotypes.TRB.txt,7388,5553435
050000050101_S86_L001.clonotypes.TRA.txt,26832,2889485
780004860808_S167_L002.clonotypes.TRA.txt,1,1
670002100808_S125_L002.clonotypes.TRA.txt,34274,2505200
630002440808_S57_L001.clonotypes.TRB.txt,23826,5748524
630001510808_S120_L002.clonotypes.TRA.txt,17769,6744224
540002570808_S121_L002.clonotypes.TRA.txt,29606,7700650
p17_63_DNA_S75_L001.clonotypes.TRA.txt,111477,1904497
500001990808_S179_L002.clonotypes.TRB.txt,9935,8287117
540002740807_S26_L001.clonotypes.TRB.txt,11169,6690437
260002950808_S85_L001.clonotypes.TRA.txt,3302,13217
500001490808_S49_L001.clonotypes.TRA.txt,24435,9149361
260002850101_S3_L001.clonotypes.TRB.txt,34276,4459727
550001640808_S140_L002.clonotypes.TRA.txt,27270,5412531
630000750808_S126_L002.clonotypes.TRB.txt,14135,3348024
210000620808_S183_L002.clonotypes.TRB.txt,0,0
470001430807_S84_L001.clonotypes.TRB.txt,13721,4652690
